City,Lat,lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Nhulunbuy,-12.2333,136.7667,74.01,94,99,4.61,AU,1626465935
Fortuna,40.5982,-124.1573,64.35,72,1,4.0,US,1626465935
Cidreira,-30.1811,-50.2056,57.29,75,10,6.2,BR,1626465935
Bubaque,11.2833,-15.8333,80.92,81,96,9.91,GW,1626465936
Kaitangata,-46.2817,169.8464,46.42,96,100,2.08,NZ,1626465936
Puerto Escondido,15.85,-97.0667,90.43,58,75,5.75,MX,1626465936
Kabalo,-6.05,26.9167,78.33,32,24,4.61,CD,1626465937
Norman Wells,65.282,-126.8329,64.67,28,14,3.06,CA,1626465690
Korgen,66.0771,13.8153,54.99,97,100,7.76,NO,1626465937
Aklavik,68.2191,-135.0107,68.05,31,99,3.78,CA,1626465711
Baykit,61.67,96.37,59.38,76,67,1.03,RU,1626465938
Muros,42.7762,-9.0603,79.9,51,0,4.94,ES,1626465938
Nanortalik,60.1432,-45.2371,49.71,70,100,1.97,GL,1626465939
Barrow,71.2906,-156.7887,46.42,81,90,16.11,US,1626465939
Suba,10.8438,121.0102,81.36,82,100,16.49,PH,1626465940
Saldanha,-33.0117,17.9442,55.67,69,0,9.78,ZA,1626465940
Severnyy,50.677,36.5532,73.44,78,0,6.71,RU,1626465940
Ponta do Sol,32.6667,-17.1,72.19,82,3,3.06,PT,1626465941
Tiksi,71.6872,128.8694,38.88,88,100,11.72,RU,1626465942
Chepareria,1.3077,35.2039,59.79,93,73,3.6,KE,1626465942
Gijang,35.2442,129.2139,75.22,86,99,5.61,KR,1626465942
Cururupu,-1.8283,-44.8683,82.45,69,12,6.35,BR,1626465922
Bonavista,48.6499,-53.1147,65.3,68,86,15.59,CA,1626465943
Beloha,-25.1667,45.05,65.39,84,65,16.28,MG,1626465660
Santa Cruz de la Sierra,-17.8,-63.1667,76.77,43,13,8.5,BO,1626465944
Vaini,-21.2,-175.2,75.36,94,40,9.22,TO,1626465944
Sovetskiy,61.3614,63.5842,56.62,62,91,4.94,RU,1626465944
Stulovo,58.7225,50.1439,57.87,83,0,5.01,RU,1626465945
Ol'ga,43.7444,135.2892,68.59,95,0,4.43,RU,1626465945
Mandera,3.9366,41.867,86.45,36,100,18.28,KE,1626465946
Cabo San Lucas,22.8909,-109.9124,91.62,45,1,13.8,MX,1626465934
Los Llanos de Aridane,28.6585,-17.9182,73.13,83,20,14.97,ES,1626465946
Tual,-5.6667,132.75,80.44,83,100,16.64,ID,1626465947
Port Elizabeth,-33.918,25.5701,57.74,31,0,7.27,ZA,1626465947
Qaanaaq,77.484,-69.3632,36.43,98,98,11.01,GL,1626465948
Tabou,4.423,-7.3528,76.64,84,97,12.84,CI,1626465948
Saint George,37.1041,-113.5841,93.45,37,1,3.0,US,1626465903
Kilindoni,-7.9139,39.6668,77.27,77,8,20.78,TZ,1626465949
Malumfashi,11.7853,7.6218,76.15,76,97,11.36,NG,1626465949
Vanimo,-2.6741,141.3028,76.87,90,100,3.8,PG,1626465950
Biak,-0.9131,122.8766,71.87,93,100,2.73,ID,1626465950
Mar del Plata,-38.0023,-57.5575,55.99,61,20,1.01,AR,1626465950
Atikokan,48.7555,-91.6216,88.54,22,5,6.08,CA,1626465951
Mahanoro,-19.9,48.8,67.05,84,89,2.1,MG,1626465951
Toma,12.7667,-2.8833,80.44,59,95,9.31,BF,1626465952
Tankhoy,51.5528,105.1306,58.44,95,100,3.38,RU,1626465952
Loandjili,-4.7561,11.8578,72.48,86,3,8.79,CG,1626465953
Carutapera,-1.195,-46.02,77.41,90,23,8.48,BR,1626465953
Katsuura,35.1333,140.3,74.46,90,20,3.49,JP,1626465953
Muzhi,65.3667,64.6667,55.69,75,100,5.01,RU,1626465954
Hamilton,39.1834,-84.5333,72.88,88,20,3.44,US,1626465954
Gao,16.6362,1.637,100.26,16,72,6.02,ML,1626465955
Béboto,8.2668,16.939,75.76,76,100,1.81,TD,1626465955
Nuuk,64.1835,-51.7216,50.61,81,75,13.8,GL,1626465956
Erzin,36.9559,36.2,80.01,77,0,1.01,TR,1626465956
Kiunga,-6.1219,141.2906,73.98,99,100,0.89,PG,1626465956
Hobyo,5.3505,48.5268,76.68,81,71,30.13,SO,1626465957
Itarema,-2.9248,-39.9167,81.41,72,1,13.89,BR,1626465957
Cabras,39.93,8.5314,71.98,72,19,12.21,IT,1626465958
Zhireken,52.8249,117.3076,61.5,74,75,2.64,RU,1626465958
Ormara,25.2088,64.6357,84.09,72,100,7.76,PK,1626465958
Sipoo,60.3775,25.2691,66.09,58,0,4.61,FI,1626465959
Ngunguru,-35.6167,174.5,63.16,89,100,28.03,NZ,1626465959
Opotiki,-38.0833,177.2833,62.38,92,100,20.6,NZ,1626465960
Novy Urengoy,66.0833,76.6333,51.46,85,100,10.6,RU,1626465960
Westport,41.1415,-73.3579,89.96,57,1,1.01,US,1626465960
Guelph,43.5501,-80.2497,74.5,46,100,6.11,CA,1626465961
Taltal,-25.4,-70.4833,61.77,70,100,5.48,CL,1626465681
Riohacha,11.5444,-72.9072,89.55,58,100,15.55,CO,1626465962
Antrim,54.6667,-6.25,68.18,77,40,5.75,GB,1626465962
Severo-Kuril'sk,50.6789,156.125,57.92,68,90,4.21,RU,1626465963
Cayenne,4.9333,-52.3333,83.08,75,75,1.01,GF,1626465963
Novikovo,51.1537,37.8879,69.08,83,0,3.49,RU,1626465964
Bredasdorp,-34.5322,20.0403,48.83,71,2,5.37,ZA,1626465964
Cockburn Town,21.4612,-71.1419,81.54,74,2,18.86,TC,1626465965
Xushan,30.1764,121.2457,77.34,89,100,10.63,CN,1626465965
Kununurra,-15.7667,128.7333,60.78,82,34,4.61,AU,1626465966
Longyearbyen,78.2186,15.6401,48.04,81,75,4.61,SJ,1626465966
Garbolovo,60.3413,30.4955,76.19,55,15,3.18,RU,1626465967
Berlevåg,70.8578,29.0864,53.55,66,0,14.97,NO,1626465967
Emerald,-23.5333,148.1667,50.99,45,17,9.1,AU,1626465968
Nālūt,30.3333,10.85,96.48,20,4,13.78,LY,1626465968
Pevek,69.7008,170.3133,37.24,89,41,10.16,RU,1626465969
Beryslav,46.8415,33.4284,80.02,43,95,2.53,UA,1626465969
Bengkulu,-3.8004,102.2655,76.96,81,76,3.15,ID,1626465969
Jiaozuo,35.2397,113.2331,78.35,83,25,0.83,CN,1626465970
Iqaluit,63.7506,-68.5145,67.06,39,0,14.52,CA,1626465970
Klaksvík,62.2266,-6.589,52.72,84,13,25.43,FO,1626465971
Bambous Virieux,-20.3428,57.7575,70.21,77,77,13.67,MU,1626465971
Avarua,-21.2078,-159.775,77.05,78,75,13.8,CK,1626465971
Morondava,-20.2833,44.2833,71.67,79,0,11.79,MG,1626465972
Carnarvon,-24.8667,113.6333,62.92,57,92,13.49,AU,1626465972
Itoman,26.1247,127.6694,80.44,85,75,9.22,JP,1626465973
Mikumi,-7.4041,36.9831,67.57,53,36,3.44,TZ,1626465973
Marsá Maţrūḩ,31.3525,27.2453,78.8,83,0,13.09,EG,1626465974
Mount Darwin,-16.7725,31.5838,56.41,71,71,6.85,ZW,1626465974
Alihe,50.5667,123.7167,63.72,85,100,2.28,CN,1626465974
Samokov,42.3333,23.55,72.45,54,17,6.93,BG,1626465975
San Carlos,9.6612,-68.5827,83.25,76,82,3.09,VE,1626465975
Ürümqi,43.801,87.6005,70.75,56,75,4.47,CN,1626465976
Bayanday,53.0661,105.5139,61.7,62,100,2.44,RU,1626465976
Sola,-13.8833,167.55,80.17,80,53,17.18,VU,1626465977
Abu Samrah,35.3029,37.1841,82.98,40,0,12.62,SY,1626465977
Ninotsminda,41.2646,43.5916,57.65,77,0,6.11,GE,1626465978
Laguna,38.421,-121.4238,84.99,42,1,3.0,US,1626465978
Marawi,7.9986,124.2928,68.65,94,100,4.21,PH,1626465979
Alice Springs,-23.7,133.8833,36.95,56,4,6.91,AU,1626465979
Vestmannaeyjar,63.4427,-20.2734,50.83,82,99,13.62,IS,1626465979
Butaritari,3.0707,172.7902,83.89,77,52,16.89,KI,1626465980
Jamestown,42.097,-79.2353,68.25,100,90,6.91,US,1626465856
Provideniya,64.3833,-173.3,46.92,97,100,8.43,RU,1626465981
Hervey Bay,-25.2986,152.8535,54.01,79,3,15.99,AU,1626465981
Bataiporã,-22.2953,-53.2711,78.78,51,94,4.52,BR,1626465799
Manga,11.6636,-1.0731,81.39,62,90,1.97,BF,1626465982
Belyy Yar,53.6039,91.3903,62.49,94,40,8.95,RU,1626465707
Souris,49.6172,-100.2612,87.75,28,1,11.16,CA,1626465982
Tazmalt,36.3868,4.3989,74.75,52,0,5.57,DZ,1626465983
Aripuanã,-9.1667,-60.6333,96.35,21,0,3.2,BR,1626465733
Tautira,-17.7333,-149.15,82.42,70,65,22.3,PF,1626465983
New Norfolk,-42.7826,147.0587,40.5,92,18,2.53,AU,1626465984
Sangīn,32.0728,64.8359,91.08,36,53,5.64,AF,1626465984
Bratsk,56.1325,101.6142,61.29,94,100,2.98,RU,1626465985
Ancud,-41.8697,-73.8203,46.22,73,24,10.96,CL,1626465985
Atkarsk,51.8718,45.0078,65.19,91,75,5.17,RU,1626465850
Taoudenni,22.6783,-3.9836,106.59,16,91,11.95,ML,1626465986
Albania,41.0,20.0,70.99,50,0,1.63,AL,1626465986
Gizo Government Station,-8.103,156.8419,82.45,82,83,13.85,SB,1626465987
Clyde River,70.4692,-68.5914,40.89,81,99,7.16,CA,1626465987
Swift Current,50.2834,-107.8014,89.71,28,0,12.08,CA,1626465987
Grand Gaube,-20.0064,57.6608,70.38,77,90,3.0,MU,1626465988
Qui Nhon,13.7667,109.2333,78.1,86,99,4.23,VN,1626465989
Olinda,-8.0089,-34.8553,74.93,78,75,5.75,BR,1626465989
Qaqortoq,60.7167,-46.0333,59.5,68,100,2.28,GL,1626465989
Lüderitz,-26.6481,15.1594,61.0,36,0,9.51,NA,1626465990
Kudahuvadhoo,2.6708,72.8944,82.54,76,26,9.78,MV,1626465990
Bagdarin,54.4333,113.6,55.09,92,8,2.98,RU,1626465990
Gushikawa,26.3544,127.8686,75.63,93,1,6.91,JP,1626465991
Tessalit,20.1986,1.0114,99.57,9,4,11.63,ML,1626465991
Rawson,-43.3002,-65.1023,51.39,37,0,16.89,AR,1626465992
Guerrero Negro,27.9769,-114.0611,78.44,55,39,16.28,MX,1626465992
Saint-Augustin,51.226,-58.6502,59.38,97,100,14.2,CA,1626465992
Graaff-Reinet,-32.2522,24.5308,47.91,29,0,9.17,ZA,1626465993
Porto-Novo,6.4965,2.6036,75.42,91,100,9.78,BJ,1626465993
Salalah,17.0151,54.0924,77.09,94,75,3.44,OM,1626465994
Ossora,59.2353,163.0719,56.25,85,100,4.56,RU,1626465994
Dunedin,-45.8742,170.5036,47.8,91,59,3.0,NZ,1626465994
Monrovia,6.3005,-10.7969,74.97,87,85,9.4,LR,1626465995
Kavieng,-2.5744,150.7967,82.18,79,85,6.31,PG,1626465995
Constitución,-35.3333,-72.4167,53.49,60,10,16.11,CL,1626465956
La Ronge,55.1001,-105.2842,70.12,39,62,9.01,CA,1626465788
Cottonwood,34.7392,-112.0099,93.4,40,0,3.0,US,1626465996
Mahibadhoo,3.7833,72.9667,82.63,75,10,10.02,MV,1626465997
Grand-Santi,4.25,-54.3833,80.46,91,100,2.95,GF,1626465997
Shalinskoye,55.7228,93.7594,57.34,89,100,2.08,RU,1626465998
Guarujá,-23.9931,-46.2564,66.42,89,100,8.55,BR,1626465998
Kavaratti,10.5669,72.642,82.54,77,97,16.84,IN,1626465703
Labytnangi,66.6572,66.4183,51.71,81,98,6.49,RU,1626465999
Karla,59.3723,24.9275,75.09,65,0,4.61,EE,1626465999
Muroto-misakicho,33.2833,134.15,76.84,88,100,15.37,JP,1626466000
Tabuk,17.4189,121.4443,74.44,93,94,1.57,PH,1626466000
Zemio,5.0314,25.1361,69.15,90,89,1.92,CF,1626466001
Zhezkazgan,47.8043,67.7144,72.28,25,100,6.29,KZ,1626465703
Fukuechō,32.6881,128.8419,77.74,79,8,10.8,JP,1626466001
Felanitx,39.4696,3.1483,74.93,70,0,3.2,ES,1626466002
Les Cayes,18.2,-73.75,85.1,63,10,10.18,HT,1626466002
Gananoque,44.3334,-76.1661,74.48,69,100,2.55,CA,1626466003
Wilmington,34.2257,-77.9447,88.54,67,47,5.99,US,1626465400
Great Yarmouth,52.6083,1.7305,62.82,89,0,9.35,GB,1626465729
Aitape,-3.1374,142.3475,77.25,90,100,3.18,PG,1626466004
Mlonggo,-6.5333,110.7,75.52,70,100,4.18,ID,1626466004
Portland,45.5234,-122.6762,71.82,57,93,1.01,US,1626465378
Mackay,-21.15,149.2,68.04,54,97,6.11,AU,1626466005
Sinjār,36.3209,41.8754,91.53,16,0,6.58,IQ,1626466006
Thompson,55.7435,-97.8558,89.85,29,6,10.94,CA,1626466006
Shūshtar,32.0455,48.8567,98.85,11,0,4.92,IR,1626466006
Mogadishu,2.0371,45.3438,76.73,81,99,22.32,SO,1626466007
Zhangye,38.9342,100.4517,76.86,35,0,4.52,CN,1626466007
Okato,-39.2,173.8833,58.42,96,100,27.72,NZ,1626466008
Pimentel,-6.8367,-79.9342,73.69,60,0,11.5,PE,1626466008
Fairlie,55.756,-4.8556,67.08,80,38,1.01,GB,1626466008
Itaituba,-4.2761,-55.9836,92.86,38,83,3.18,BR,1626466009
Yeppoon,-23.1333,150.7333,56.98,58,24,6.42,AU,1626466009
Sarkand,45.41,79.9186,63.9,52,43,6.31,KZ,1626466010
Waipawa,-41.4122,175.5153,52.27,84,100,21.79,NZ,1626466010
Moengo,5.6167,-54.4,80.46,89,47,2.51,SR,1626466010
Bafia,4.75,11.2333,70.32,98,99,2.01,CM,1626466011
Ankazobe,-18.3167,47.1167,55.81,93,9,4.88,MG,1626466011
Dongsheng,39.8161,109.9776,66.78,79,97,0.29,CN,1626466012
Hofn,64.2539,-15.2082,56.41,64,5,10.0,IS,1626466012
Hasaki,35.7333,140.8333,70.21,91,6,3.67,JP,1626465772
Caravelas,-17.7125,-39.2481,74.14,80,0,8.43,BR,1626466013
Codrington,-38.2667,141.9667,47.73,91,90,14.14,AU,1626466013
Debre Tabor,11.85,38.0167,52.99,93,100,2.51,ET,1626465752
Sibolga,1.7427,98.7792,75.79,83,97,3.49,ID,1626466014
Key West,24.5557,-81.7826,89.1,63,20,16.11,US,1626466015
Saint Anthony,45.0205,-93.218,83.23,40,75,1.01,US,1626466015
Florence,43.7667,11.25,70.03,63,40,3.44,IT,1626466015
Misratah,32.3754,15.0925,80.73,68,0,11.43,LY,1626466016
Asău,46.4333,26.4,67.21,69,4,3.29,RO,1626466016
Fare,-16.7,-151.0167,79.77,63,55,22.73,PF,1626466017
Uchiza,-8.4592,-76.4633,86.25,50,30,2.77,PE,1626466017
Khasan,42.4308,130.6434,71.91,98,75,1.21,RU,1626466017
Tromsø,69.6496,18.957,49.68,93,75,4.0,NO,1626466010
Lagodekhi,41.8268,46.2767,72.5,55,24,3.29,GE,1626466018
Makokou,0.5738,12.8642,74.71,70,100,2.86,GA,1626466018
Wamba,8.9333,8.6,72.55,94,85,3.83,NG,1626466019
Waitati,-45.75,170.5667,47.8,91,56,3.38,NZ,1626466019
Price,39.5994,-110.8107,88.92,20,1,3.83,US,1626466020
Lianhe,47.1333,129.2667,71.87,95,65,2.08,CN,1626466020
Mossamedes,-15.1961,12.1522,66.94,82,0,5.17,AO,1626466020
Pleşoiu,44.4667,24.2667,79.63,47,100,10.33,RO,1626466021
Coração de Jesus,-16.6853,-44.365,81.41,27,0,3.85,BR,1626466021
Clarence Town,-32.5833,151.7833,57.02,57,4,16.55,AU,1626466022
Dikson,73.5069,80.5464,34.99,89,100,9.64,RU,1626466023
Airai,-8.9266,125.4092,55.4,62,42,2.51,TL,1626466023
Nelson Bay,-32.7167,152.15,57.65,57,0,3.0,AU,1626465948
Dingle,10.9995,122.6711,75.49,91,98,6.89,PH,1626466024
Ongandjera,-17.8833,15.0667,64.51,30,0,9.51,NA,1626466024
Lensk,60.7253,114.9278,60.94,73,7,2.62,RU,1626466025
Seoul,37.5683,126.9778,74.43,83,90,3.09,KR,1626465793
Zhicheng,30.2956,111.5047,79.25,91,100,3.02,CN,1626466026
Charopo,41.2667,23.3833,74.14,43,0,1.52,GR,1626466026
Mugur-Aksy,50.35,90.5,55.08,78,89,5.75,RU,1626466027
São João da Barra,-21.6403,-41.0511,78.89,75,5,7.72,BR,1626465870
Esperance,-33.8667,121.9,51.64,81,100,5.17,AU,1626466027
Nioro,13.35,-15.75,83.17,71,56,11.88,GM,1626466028
Kyenjojo,0.6328,30.6214,62.96,77,93,1.14,UG,1626466028
Bonanza,14.0289,-84.591,80.73,84,33,3.76,NI,1626466029
Miles City,46.4083,-105.8406,95.97,20,1,6.91,US,1626465774
Tottori-shi,35.5,134.2333,72.01,89,81,6.35,JP,1626466029
Sobolevo,54.4299,31.8996,69.13,79,0,7.02,RU,1626466030
Mgachi,51.05,142.2667,69.98,89,38,13.31,RU,1626466030
Mandalgovi,45.7625,106.2708,61.39,84,57,3.18,MN,1626466031
Anchorage,61.2181,-149.9003,69.42,64,1,4.61,US,1626465992
Juneau,58.3019,-134.4197,60.55,89,75,6.91,US,1626466031
Kučevo,44.4775,21.67,67.93,94,100,8.43,RS,1626466032
Huejúcar,22.35,-103.2167,73.85,57,100,4.94,MX,1626466032
Manggar,-2.8833,108.2667,80.37,77,100,7.74,ID,1626466033
Simpang,-1.2667,104.0833,73.81,88,48,2.64,ID,1626466033
Abu Dhabi,24.4667,54.3667,92.26,65,87,19.89,AE,1626465780
San-Pédro,4.7485,-6.6363,76.12,88,92,10.54,CI,1626466034
Katherine,-14.4667,132.2667,64.72,63,100,1.14,AU,1626466034
Santa Isabel Rio Negro,-0.4139,-65.0192,82.08,82,46,3.69,BR,1626466035
Sittwe,20.15,92.9,80.91,82,100,3.04,MM,1626466035
Marília,-22.2139,-49.9458,80.83,29,24,5.3,BR,1626466035
Jalu,29.0331,21.5482,85.32,48,0,18.97,LY,1626466036
Polunochnoye,60.8697,60.4153,54.5,69,71,3.2,RU,1626466036
Casper,42.8666,-106.3131,90.46,19,1,5.01,US,1626466037
Santa Inês,-3.6667,-45.38,89.19,47,32,4.14,BR,1626466037
Wanaka,-44.7,169.15,41.2,97,91,2.13,NZ,1626466038
Cherlak,54.155,74.8055,54.91,96,100,8.12,RU,1626466038
Carauari,-4.8828,-66.8958,90.18,49,47,3.98,BR,1626466039
Homer,59.6425,-151.5483,68.16,69,1,9.22,US,1626466039
San Jose,37.3394,-121.895,75.96,47,1,3.44,US,1626465943
Saurimo,-9.6608,20.3916,65.55,33,9,5.14,AO,1626466040
Bulgan,48.8125,103.5347,57.96,89,31,1.92,MN,1626466041
Lompoc,34.6391,-120.4579,71.58,72,1,13.8,US,1626465853
Rairangpur,22.2676,86.1751,78.75,86,100,4.9,IN,1626466041
Butere,0.2064,34.4935,61.43,90,83,3.15,KE,1626466042
Nome,64.5011,-165.4064,48.27,81,90,9.22,US,1626466042
Tuatapere,-46.1333,167.6833,43.83,96,100,3.29,NZ,1626466043
Oga,46.4631,10.347,52.47,91,94,6.26,IT,1626466043
Bathsheba,13.2167,-59.5167,83.01,78,75,13.8,BB,1626466044
Synya,65.3718,58.0387,52.77,86,0,3.33,RU,1626466044
São Miguel do Araguaia,-13.275,-50.1628,93.94,19,0,1.66,BR,1626466044
Philadelphia,39.9523,-75.1638,93.02,48,40,5.99,US,1626465979
Novi Pazar,43.1367,20.5122,59.56,95,2,1.57,RS,1626466045
Ergani,38.2653,39.7621,78.35,22,47,3.85,TR,1626466045
Padang,-0.9492,100.3543,75.74,77,67,3.91,ID,1626466046
Lundamo,63.1333,10.3,57.76,90,13,3.06,NO,1626466046
Aksarka,66.5606,67.7975,49.48,73,98,8.46,RU,1626466046
Brae,60.3964,-1.353,55.31,89,55,18.12,GB,1626466047
Shubarshi,48.5872,57.1869,79.54,28,57,8.19,KZ,1626466047
Nova Gradiška,45.255,17.3831,66.16,98,100,1.63,HR,1626466048
Oodweyne,9.4092,45.064,74.95,52,100,15.66,SO,1626466048
Kaiyuan,23.6977,103.3037,66.09,90,100,3.11,CN,1626466048
Luba,3.4568,8.5547,77.23,86,96,7.81,GQ,1626466049
Viedma,-40.8135,-62.9967,50.22,54,100,10.85,AR,1626466049
Riachão das Neves,-11.7461,-44.91,88.59,23,33,2.89,BR,1626466050
Riverton,40.5219,-111.9391,92.3,26,1,1.01,US,1626466033
Port Lincoln,-34.7333,135.8667,50.45,59,92,26.57,AU,1626466050
Harper,4.375,-7.7169,76.78,83,94,13.53,LR,1626466051
Tarāna,23.3333,76.0333,83.73,64,83,9.66,IN,1626466051
Tigre,-34.426,-58.5796,59.52,53,0,11.5,AR,1626466052
Ilulissat,69.2167,-51.1,57.22,41,40,5.75,GL,1626466052
